 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,19,8.160,161,188,229.658,699.658,229.621,699.691,14.728,5.301,4.564,45.001,21
2,5,0.837,178,180,1352.500,792.500,1352.498,792.500,8.485,2.523,2.523,0.000,21
3,2,2.121,443,446,1157.500,819.000,1157.500,819.002,4.828,2.257,1.128,90.000,21
4,11,15.337,374,420,505.500,117.500,505.487,117.451,12.485,5.575,2.512,110.301,22
5,27,6.212,194,214,224.204,719.389,224.156,719.352,21.213,9.770,3.519,139.597,22
6,22,5.194,176,194,1358.182,793.545,1358.155,793.544,16.728,5.700,4.914,35.714,22
7,26,12.047,465,513,1166.154,812.385,1166.173,812.402,17.899,6.787,4.877,150.533,22
8,6,7.071,324,341,811.000,835.500,811.001,835.484,7.657,3.385,2.257,90.000,22
9,2,5.657,392,400,534.000,110.500,533.995,110.500,4.243,2.257,1.128,0.000,23
10,3,1.528,240,243,184.833,353.167,184.831,353.167,5.657,2.365,1.615,135.000,23
11,1,0.000,282,282,1060.500,675.500,1060.500,675.500,2.828,1.128,1.128,0.000,23
12,4,2.363,189,194,225.750,715.500,225.746,715.497,7.657,2.734,1.863,90.000,23
13,12,1.621,185,190,1357.000,796.500,1356.996,796.496,13.314,5.218,2.928,79.099,23
14,27,17.537,359,422,1179.796,801.611,1179.779,801.673,18.971,6.352,5.412,96.253,23
15,10,5.915,436,454,1172.300,806.400,1172.306,806.409,11.071,4.049,3.144,153.435,23
16,2,3.536,308,313,782.500,819.000,782.500,818.996,4.828,2.257,1.128,90.000,23
17,43,15.837,340,407,813.547,832.523,813.554,832.465,23.556,8.380,6.534,50.748,23
18,2,2.828,466,470,493.000,66.500,493.002,66.500,4.243,2.257,1.128,0.000,24
19,5,1.789,281,285,1063.700,672.100,1063.702,672.102,7.657,3.144,2.025,18.435,24
20,7,7.277,294,314,849.214,773.500,849.203,773.511,8.485,3.086,2.888,90.000,24
21,31,7.150,164,188,1345.113,791.758,1345.154,791.776,19.556,6.755,5.844,121.174,24
22,27,19.360,337,405,1178.241,801.685,1178.270,801.779,24.385,7.416,4.636,116.898,24
23,18,9.261,332,362,1192.889,804.444,1192.870,804.453,16.728,7.087,3.234,142.955,24
24,83,20.039,401,482,818.139,827.464,818.139,827.390,34.385,11.930,8.858,74.958,24
25,9,1.658,198,203,187.389,353.833,187.387,353.831,10.485,3.919,2.924,110.301,25
26,45,15.667,356,413,829.478,766.678,829.463,766.739,24.142,8.075,7.095,101.221,25
27,4,0.816,187,189,1350.000,794.000,1350.001,794.001,5.657,2.257,2.257,0.000,25
28,92,16.279,471,538,805.837,807.239,805.872,807.202,36.042,11.216,10.444,26.690,25
29,10,8.720,395,420,1180.000,805.700,1180.004,805.714,10.485,4.198,3.033,180.000,25
30,96,33.554,338,466,1198.229,814.073,1197.881,814.006,49.698,18.187,6.721,163.600,25
31,109,31.784,402,530,825.922,826.702,825.864,826.571,37.456,13.367,10.383,136.347,25
32,46,16.467,304,357,796.196,831.130,796.228,831.075,24.385,9.217,6.354,142.671,25
33,14,3.771,460,471,1176.000,841.214,1176.000,841.208,12.485,4.477,3.981,180.000,25
34,4,3.109,472,479,536.750,80.500,536.748,80.501,7.657,2.734,1.863,90.000,26
35,3,3.215,572,578,1386.167,332.167,1386.165,332.169,5.657,2.365,1.615,45.000,26
36,1,0.000,595,595,1381.500,337.500,1381.500,337.500,2.828,1.128,1.128,0.000,26
37,11,2.646,181,189,193.591,343.864,193.591,343.867,11.071,4.384,3.195,105.071,26
38,8,9.453,321,346,820.375,759.625,820.382,759.645,9.071,3.538,2.879,135.000,26
39,76,16.983,437,500,827.921,775.079,827.893,775.135,31.213,10.457,9.254,151.991,26
40,115,18.714,509,587,829.526,798.030,829.452,798.059,48.770,18.182,8.053,35.043,26
41,24,21.888,380,448,1179.208,802.375,1179.260,802.470,20.142,8.559,3.570,124.975,26
42,23,19.590,330,398,1196.326,805.022,1196.326,805.127,21.556,8.215,3.565,104.566,26
43,154,43.446,437,608,826.506,822.383,826.455,822.101,46.870,17.148,11.434,94.914,26
44,62,17.380,431,494,804.581,819.629,804.627,819.581,28.971,9.590,8.232,125.376,26
45,14,11.466,368,403,1201.929,819.214,1201.902,819.207,13.899,5.278,3.377,120.525,26
46,4,6.272,320,335,787.000,819.000,787.007,818.995,5.657,2.257,2.257,0.000,26
47,9,2.550,179,188,652.167,1021.611,652.175,1021.613,10.485,3.919,2.924,159.699,26
48,17,3.486,180,191,193.088,351.618,193.084,351.621,13.899,5.229,4.140,105.172,27
49,5,7.765,357,377,814.100,760.300,814.106,760.313,7.657,3.144,2.025,108.435,27
50,88,17.713,463,533,823.932,775.193,823.915,775.252,35.456,11.737,9.546,41.460,27
51,7,8.712,489,513,5.500,778.500,5.489,778.509,8.485,3.772,2.363,45.000,27
52,62,16.646,435,496,848.645,790.758,848.602,790.786,31.213,12.011,6.573,94.078,27
53,11,2.166,507,513,837.682,790.955,837.682,790.957,11.314,4.507,3.107,48.972,27
54,98,35.063,390,522,1182.163,804.561,1182.130,804.723,36.385,11.944,10.447,124.083,27
55,41,10.966,439,482,1157.232,816.329,1157.257,816.338,28.385,10.767,4.848,58.004,27
56,107,21.735,481,569,832.276,819.294,832.236,819.214,38.627,13.361,10.197,101.911,27
57,63,14.773,443,497,809.738,818.865,809.782,818.841,30.042,9.788,8.195,152.275,27
58,12,3.857,163,176,653.167,1030.583,653.171,1030.568,12.485,4.314,3.542,145.278,27
59,1,0.000,188,188,174.500,374.500,174.500,374.500,2.828,1.128,1.128,0.000,28
60,12,4.218,219,233,493.750,621.500,493.733,621.504,13.899,5.277,2.895,0.000,28
61,21,5.864,497,518,818.357,779.500,818.368,779.511,15.314,5.622,4.756,141.047,28
62,1,0.000,500,500,843.500,800.500,843.500,800.500,2.828,1.128,1.128,0.000,28
63,30,17.039,467,528,1182.100,812.133,1182.039,812.171,22.142,8.554,4.465,22.601,28
64,6,6.473,445,460,834.333,826.667,834.329,826.661,8.485,3.140,2.433,45.000,28
65,61,21.731,429,513,1153.057,829.697,1153.167,829.717,34.042,10.806,7.187,152.443,28
66,8,1.996,177,183,658.000,1032.000,658.005,1031.996,9.657,4.514,2.257,0.000,28
67,42,8.506,233,262,492.690,626.429,492.671,626.427,22.728,7.502,7.129,122.178,29
68,5,7.369,496,515,6.300,780.100,6.291,780.100,7.071,3.144,2.025,161.565,29
69,19,4.031,509,522,824.237,785.921,824.240,785.927,16.728,5.475,4.418,42.817,29
70,12,4.231,504,517,830.000,785.833,829.996,785.838,11.899,4.424,3.454,127.238,29
71,14,11.295,431,463,1177.214,807.000,1177.214,807.025,12.485,4.264,4.181,90.000,29
72,71,20.303,480,562,1163.556,840.768,1163.592,840.670,34.385,11.454,7.893,84.336,29
73,60,14.910,218,273,495.850,632.350,495.813,632.320,27.799,8.806,8.675,156.801,30
74,4,2.582,497,503,827.000,782.000,826.999,782.002,5.657,2.257,2.257,0.000,30
75,5,4.494,477,488,1183.300,815.900,1183.296,815.904,7.071,3.144,2.025,18.435,30
76,3,1.732,492,495,1185.167,819.833,1185.166,819.834,5.657,2.365,1.615,135.000,30
77,5,5.805,433,445,1152.100,828.300,1152.106,828.304,7.657,3.144,2.025,108.435,30
78,21,10.046,500,534,1170.500,843.976,1170.504,843.953,16.728,5.916,4.520,111.288,30
79,4,2.380,516,521,1177.500,843.000,1177.498,843.000,7.071,3.216,1.583,31.717,30
80,5,10.877,469,495,500.300,171.700,500.304,171.723,9.657,4.183,1.522,100.901,31
81,4,7.000,325,341,1365.000,388.500,1364.996,388.488,7.657,3.216,1.583,121.717,31
82,71,12.519,216,261,499.838,625.345,499.777,625.362,30.971,11.127,8.124,87.514,31
83,1,0.000,488,488,826.500,778.500,826.500,778.500,2.828,1.128,1.128,0.000,31
84,1,0.000,463,463,1156.500,839.500,1156.500,839.500,2.828,1.128,1.128,0.000,31
85,22,7.096,572,594,502.500,189.636,502.492,189.647,16.728,5.585,5.016,90.000,32
86,17,4.303,620,635,497.147,223.206,497.141,223.206,14.728,5.610,3.858,5.443,32
87,6,7.139,449,468,1367.000,376.500,1367.003,376.490,7.657,3.385,2.257,90.000,32
88,3,5.196,412,421,1363.167,378.833,1363.169,378.831,5.657,2.365,1.615,135.000,32
89,73,16.512,222,286,489.075,621.733,489.098,621.776,30.627,10.322,9.005,96.933,32
90,2,2.121,470,473,1159.500,837.000,1159.500,836.998,4.828,2.257,1.128,90.000,32
91,11,7.653,506,527,474.136,177.045,474.135,177.058,11.314,3.994,3.507,71.565,33
92,20,13.189,434,479,442.550,187.550,442.576,187.575,16.728,5.623,4.528,101.426,33
93,13,15.798,509,559,515.885,190.577,515.869,190.618,14.485,5.827,2.841,71.672,33
94,62,17.030,544,605,519.242,201.419,519.198,201.411,29.799,11.041,7.150,108.668,33
95,4,5.679,463,475,527.000,233.000,526.995,232.999,5.657,2.257,2.257,0.000,33
96,14,11.319,439,477,1368.786,378.571,1368.793,378.544,13.314,5.061,3.522,97.928,33
97,2,1.414,231,233,492.000,623.500,491.998,623.500,4.243,2.257,1.128,0.000,33
98,20,4.428,225,239,487.400,627.150,487.421,627.144,16.728,5.097,4.996,167.179,33
99,32,20.686,512,587,449.000,193.000,449.024,193.048,19.314,6.383,6.383,0.000,34
100,116,44.062,516,679,501.431,210.440,501.269,210.611,40.870,14.413,10.247,57.632,34
101,47,15.722,576,637,1380.755,371.521,1380.769,371.475,25.556,8.123,7.367,76.370,34
102,33,23.098,435,512,1362.833,375.742,1362.892,375.717,20.142,7.342,5.723,150.521,34
103,28,5.246,237,255,489.857,634.536,489.862,634.520,19.556,6.721,5.305,18.157,34
104,46,24.528,571,661,440.348,205.848,440.388,205.895,24.142,8.022,7.301,107.727,35
105,97,44.642,549,706,503.624,210.758,503.437,210.856,40.284,12.850,9.611,29.996,35
106,3,6.658,655,668,502.167,235.833,502.163,235.830,5.657,2.365,1.615,135.000,35
107,18,4.930,692,709,1384.222,359.167,1384.229,359.167,15.314,5.068,4.522,92.979,35
108,40,23.920,604,690,1376.550,366.850,1376.587,366.823,22.728,7.524,6.769,7.718,35
109,1,0.000,238,238,493.500,633.500,493.500,633.500,2.828,1.128,1.128,0.000,35
110,40,16.064,645,700,457.300,202.000,457.305,202.027,23.314,8.440,6.034,16.951,36
111,161,33.588,619,756,504.947,231.562,504.828,231.529,55.941,19.102,10.732,101.846,36
112,108,14.853,668,730,1380.593,346.648,1380.613,346.662,47.213,16.007,8.591,81.266,36
113,54,27.824,560,661,1373.463,369.722,1373.496,369.689,26.385,9.183,7.487,162.871,36
114,11,1.753,240,245,492.682,628.318,492.681,628.316,11.899,3.807,3.678,135.000,36
115,5,8.438,520,536,468.700,189.100,468.697,189.107,7.657,3.144,2.025,18.435,37
116,31,13.514,699,749,462.597,211.016,462.612,211.037,20.142,6.631,5.952,139.979,37
117,139,30.609,655,784,500.637,243.773,500.560,243.691,50.770,18.018,9.822,89.272,37
118,2,0.707,741,742,481.000,252.500,481.000,252.500,4.243,2.257,1.128,0.000,37
119,120,23.808,634,731,1380.600,337.658,1380.617,337.785,52.770,18.769,8.140,86.788,37
120,66,34.156,547,673,1368.364,364.636,1368.405,364.583,28.385,9.516,8.831,134.996,37
121,1,0.000,230,230,1266.500,1011.500,1266.500,1011.500,2.828,1.128,1.128,0.000,37
122,3,5.568,619,630,457.833,215.167,457.836,215.170,5.657,2.365,1.615,135.000,38
123,5,4.324,592,602,1387.700,329.100,1387.701,329.103,7.657,3.144,2.025,18.435,38
124,56,30.238,425,532,1359.161,344.875,1359.266,344.882,26.971,8.924,7.990,146.150,38
125,10,10.331,625,657,459.000,213.000,459.014,213.015,11.314,5.312,2.397,135.000,39
126,56,29.880,430,542,1360.000,336.089,1360.087,336.135,26.971,9.165,7.779,114.297,39
127,4,4.123,651,661,463.000,212.000,463.002,212.002,5.657,2.257,2.257,0.000,40
128,67,32.773,472,595,1372.321,324.575,1372.402,324.642,28.971,9.735,8.763,131.697,40
129,6,5.574,579,594,370.667,608.333,370.672,608.330,8.485,3.140,2.433,45.000,40
130,11,6.392,665,684,475.682,216.591,475.684,216.602,12.485,4.982,2.811,103.283,41
131,78,32.218,524,641,1381.795,324.821,1381.853,324.883,32.042,10.456,9.498,159.197,41
132,12,11.642,468,506,407.000,561.500,406.990,561.516,11.657,4.514,3.385,0.000,41
133,5,7.987,521,541,400.100,564.700,400.097,564.710,7.657,3.144,2.025,71.565,41
134,14,6.538,670,692,388.000,589.214,388.004,589.219,12.485,4.477,3.981,180.000,41
135,4,2.082,669,674,389.000,614.000,389.001,613.999,5.657,2.257,2.257,0.000,41
136,8,9.031,317,343,1380.625,391.625,1380.636,391.607,9.071,3.538,2.879,45.000,42
137,6,10.672,371,400,421.000,560.500,420.995,560.519,7.657,3.385,2.257,90.000,42
138,7,7.847,484,504,384.500,564.500,384.496,564.511,8.485,3.772,2.363,45.000,42
139,28,15.120,560,616,413.964,577.857,413.947,577.875,18.728,6.364,5.602,121.551,42
140,16,9.266,588,616,420.750,592.125,420.737,592.127,13.899,4.841,4.208,165.128,42
141,23,16.109,487,540,432.935,604.326,432.897,604.322,16.728,5.800,5.049,16.111,42
142,7,10.323,367,395,363.500,564.786,363.513,564.798,9.071,3.086,2.888,0.000,43
143,3,4.041,471,478,425.167,572.833,425.165,572.835,5.657,2.365,1.615,135.000,43
144,21,10.135,597,633,419.405,588.690,419.393,588.700,16.728,5.623,4.755,101.310,43
145,28,16.528,493,548,434.321,606.893,434.286,606.888,18.728,6.387,5.582,111.748,43
146,11,14.922,362,410,443.682,614.045,443.650,614.024,11.314,4.507,3.107,131.028,43
147,21,12.219,516,558,406.405,637.214,406.392,637.193,16.728,6.021,4.440,147.271,43
148,33,13.196,638,683,387.833,579.258,387.845,579.273,20.142,7.342,5.723,29.479,44
149,12,13.270,343,385,447.750,585.917,447.722,585.922,11.899,4.424,3.453,122.067,44
150,72,13.587,697,749,413.097,598.153,413.083,598.161,42.284,15.569,5.888,110.083,44
151,24,20.854,377,446,447.042,604.750,446.975,604.729,17.314,6.145,4.973,155.484,44
152,22,13.145,604,651,375.318,617.773,375.331,617.754,16.728,5.674,4.937,85.345,44
153,31,13.838,644,697,408.952,620.210,408.938,620.190,19.314,6.870,5.745,136.313,44
154,12,10.681,467,500,378.417,639.333,378.428,639.320,13.314,4.420,3.457,162.535,44
155,4,6.652,460,472,407.000,646.000,407.000,645.994,5.657,2.257,2.257,0.000,44
156,4,4.203,666,675,466.000,213.000,466.001,213.003,5.657,2.257,2.257,0.000,45
157,11,12.468,336,375,442.773,570.773,442.749,570.785,11.899,4.337,3.229,135.000,45
158,41,20.160,630,705,382.378,582.476,382.401,582.502,22.728,7.571,6.895,145.809,45
159,155,38.398,650,816,417.545,590.610,417.394,590.696,63.255,14.320,13.781,12.880,45
160,11,9.092,589,616,370.864,592.409,370.878,592.409,11.071,4.384,3.195,15.071,45
