 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,857.500,110.500,2.828,1.128,1.128,0.000,1.414,857,110,135.000,1.000
2,1,305.500,606.500,2.828,1.128,1.128,0.000,1.414,305,606,135.000,1.000
3,1,280.500,638.500,2.828,1.128,1.128,0.000,1.414,280,638,135.000,1.000
4,1,1309.500,898.500,2.828,1.128,1.128,0.000,1.414,1309,898,135.000,1.000
5,1,202.500,910.500,2.828,1.128,1.128,0.000,1.414,202,910,135.000,1.000
6,2,1058.500,455.000,4.828,2.257,1.128,90.000,2.236,1058,454,116.565,1.000
7,2,780.000,770.000,5.657,2.596,0.981,135.000,2.828,779,769,135.000,1.414
8,3,746.833,182.167,5.657,2.365,1.615,135.000,2.828,746,181,135.000,2.000
9,3,31.833,449.167,5.657,2.365,1.615,135.000,2.828,31,448,135.000,2.000
10,3,14.833,696.833,5.657,2.365,1.615,45.000,2.828,14,698,45.000,2.000
11,4,90.500,86.750,7.071,2.734,1.863,0.000,3.162,89,86,161.565,2.000
12,4,777.000,218.000,5.657,2.257,2.257,0.000,2.828,776,217,135.000,2.000
13,4,1037.500,332.000,7.071,3.216,1.583,31.717,3.606,1036,333,33.690,2.000
14,4,13.500,457.000,7.071,3.216,1.583,31.717,3.606,12,458,33.690,2.000
15,5,644.900,79.300,7.657,3.144,2.025,71.565,3.606,644,81,56.310,2.000
16,5,263.100,496.300,7.657,3.144,2.025,108.435,3.606,262,495,123.690,2.000
17,6,521.000,242.500,7.657,3.385,2.257,90.000,3.606,520,241,123.690,2.000
18,6,599.333,746.667,8.485,3.140,2.433,45.000,3.606,598,748,33.690,2.828
19,6,209.000,925.500,7.657,3.385,2.257,90.000,3.606,208,924,123.690,2.000
20,6,209.667,930.333,8.485,3.140,2.433,45.000,3.606,208,931,33.690,2.828
21,7,315.786,15.500,9.071,3.086,2.888,90.000,3.606,315,14,123.690,3.000
22,7,1002.500,760.214,9.071,3.086,2.888,0.000,3.606,1001,759,123.690,3.000
23,8,321.375,228.375,9.071,3.538,2.879,45.000,4.243,320,230,45.000,3.000
24,8,255.000,439.250,10.485,3.254,3.130,0.000,4.243,253,438,135.000,3.000
25,9,73.500,247.500,9.657,3.385,3.385,0.000,4.243,72,246,135.000,3.000
26,10,1362.300,161.500,11.071,3.966,3.210,0.000,4.472,1360,161,153.435,3.000
27,10,85.000,257.000,11.314,4.093,3.111,161.565,4.472,84,255,116.565,3.578
28,10,767.300,953.500,11.071,3.966,3.210,0.000,4.472,765,953,153.435,3.000
29,10,631.800,1022.700,13.314,5.687,2.239,49.687,6.403,630,1025,51.340,3.328
