 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,1385.500,141.500,2.828,1.128,1.128,0.000,1.414,1385,141,135.000,1.000
2,1,558.500,199.500,2.828,1.128,1.128,0.000,1.414,558,199,135.000,1.000
3,1,560.500,227.500,2.828,1.128,1.128,0.000,1.414,560,227,135.000,1.000
4,1,733.500,761.500,2.828,1.128,1.128,0.000,1.414,733,761,135.000,1.000
5,2,228.500,331.000,4.828,2.257,1.128,90.000,2.236,228,330,116.565,1.000
6,2,994.500,457.000,4.828,2.257,1.128,90.000,2.236,994,456,116.565,1.000
7,3,1123.833,252.833,5.657,2.365,1.615,45.000,2.828,1123,254,45.000,2.000
8,3,871.167,675.167,5.657,2.365,1.615,45.000,2.828,870,676,45.000,2.000
9,3,483.167,723.167,5.657,2.365,1.615,45.000,2.828,482,724,45.000,2.000
10,4,1309.000,224.500,7.657,3.216,1.583,58.283,3.606,1308,226,56.310,2.000
11,4,445.500,372.250,7.071,2.734,1.863,0.000,3.162,444,372,161.565,2.000
12,4,278.000,591.000,5.657,2.257,2.257,0.000,2.828,277,590,135.000,2.000
13,4,915.000,747.000,5.657,2.257,2.257,0.000,2.828,914,746,135.000,2.000
14,5,470.700,78.100,7.657,3.144,2.025,18.435,3.606,469,79,33.690,2.000
15,5,642.100,180.700,7.657,3.144,2.025,71.565,3.606,641,182,56.310,2.000
16,5,1271.500,230.500,8.485,2.523,2.523,0.000,3.162,1271,229,108.435,2.828
17,5,486.900,350.700,7.657,3.144,2.025,108.435,3.606,486,349,123.690,2.000
18,5,136.700,831.500,8.485,3.086,2.063,145.901,3.606,136,830,123.690,2.683
19,6,575.000,713.500,7.657,3.385,2.257,90.000,3.606,574,712,123.690,2.000
20,7,1367.786,328.500,9.071,3.086,2.888,90.000,3.606,1367,327,123.690,3.000
21,7,981.500,494.786,9.071,3.086,2.888,0.000,3.606,981,493,123.690,3.000
22,7,90.500,740.214,9.071,3.086,2.888,0.000,3.606,89,739,123.690,3.000
23,7,1232.214,831.500,8.485,3.086,2.888,90.000,3.606,1231,830,123.690,3.000
24,7,1092.500,1020.214,9.071,3.086,2.888,0.000,3.606,1091,1019,123.690,3.000
25,8,720.625,116.375,9.071,3.538,2.879,135.000,4.243,719,115,135.000,3.000
26,8,804.500,171.000,10.485,3.489,2.919,90.000,4.123,804,169,104.036,3.000
27,8,439.625,314.625,9.071,3.538,2.879,45.000,4.243,438,316,45.000,3.000
28,8,1010.625,755.625,9.071,3.538,2.879,45.000,4.243,1009,757,45.000,3.000
29,9,155.500,622.500,9.657,3.385,3.385,0.000,4.243,154,621,135.000,3.000
30,10,1237.800,219.800,11.314,3.975,3.203,45.000,4.472,1236,221,26.565,3.536
31,10,60.200,986.800,11.314,3.975,3.203,135.000,4.472,59,985,116.565,3.536
