 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,571.500,38.500,2.828,1.128,1.128,0.000,1.414,571,38,135.000,1.000
2,1,976.500,193.500,2.828,1.128,1.128,0.000,1.414,976,193,135.000,1.000
3,1,328.500,443.500,2.828,1.128,1.128,0.000,1.414,328,443,135.000,1.000
4,1,1047.500,915.500,2.828,1.128,1.128,0.000,1.414,1047,915,135.000,1.000
5,2,460.000,1036.000,5.657,2.596,0.981,45.000,2.828,459,1037,45.000,1.414
6,3,835.167,169.833,5.657,2.365,1.615,135.000,2.828,834,169,135.000,2.000
7,3,730.167,194.167,5.657,2.365,1.615,45.000,2.828,729,195,45.000,2.000
8,3,530.833,715.167,5.657,2.365,1.615,135.000,2.828,530,714,135.000,2.000
9,3,103.167,936.833,5.657,2.365,1.615,135.000,2.828,102,936,135.000,2.000
10,4,49.000,337.000,5.657,2.257,2.257,0.000,2.828,48,336,135.000,2.000
11,4,533.000,621.000,5.657,2.257,2.257,0.000,2.828,532,620,135.000,2.000
12,4,211.000,647.000,5.657,2.257,2.257,0.000,2.828,210,646,135.000,2.000
13,4,813.000,665.000,5.657,2.257,2.257,0.000,2.828,812,664,135.000,2.000
14,4,761.000,801.000,5.657,2.257,2.257,0.000,2.828,760,800,135.000,2.000
15,5,810.500,601.500,8.485,2.523,2.523,0.000,3.162,810,600,108.435,2.828
16,5,943.300,738.900,7.071,3.144,2.025,18.435,3.606,942,740,33.690,2.000
17,5,193.900,951.300,7.657,3.144,2.025,71.565,3.606,193,953,56.310,2.000
18,6,1006.500,16.000,7.657,3.385,2.257,0.000,3.606,1005,15,146.310,2.000
19,6,830.500,105.000,7.657,3.385,2.257,0.000,3.606,829,104,146.310,2.000
20,6,608.667,563.333,8.485,3.140,2.433,45.000,3.606,607,564,33.690,2.828
21,7,477.214,889.500,8.485,3.086,2.888,90.000,3.606,476,888,123.690,3.000
22,7,788.500,915.500,8.485,3.772,2.363,45.000,4.243,787,917,45.000,2.828
23,8,785.375,99.375,9.071,3.538,2.879,45.000,4.243,784,101,45.000,3.000
24,8,268.625,171.375,9.071,3.538,2.879,135.000,4.243,267,170,135.000,3.000
25,9,879.500,296.500,9.657,3.385,3.385,0.000,4.243,878,295,135.000,3.000
26,10,641.000,450.300,10.485,4.111,3.097,2.596E-14,4.472,639,449,153.435,3.000
27,10,541.300,502.500,11.071,3.966,3.210,0.000,4.472,539,502,153.435,3.000
28,10,1038.700,707.500,10.485,3.966,3.210,0.000,4.472,1037,706,153.435,3.000
