 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,819.500,103.500,2.828,1.128,1.128,0.000,1.414,819,103,135.000,1.000
2,1,433.500,568.500,2.828,1.128,1.128,0.000,1.414,433,568,135.000,1.000
3,1,570.500,589.500,2.828,1.128,1.128,0.000,1.414,570,589,135.000,1.000
4,1,815.500,602.500,2.828,1.128,1.128,0.000,1.414,815,602,135.000,1.000
5,1,851.500,875.500,2.828,1.128,1.128,0.000,1.414,851,875,135.000,1.000
6,2,1055.000,83.500,4.243,2.257,1.128,0.000,2.236,1054,83,153.435,1.000
7,2,1235.000,559.000,5.657,2.596,0.981,45.000,2.828,1234,560,45.000,1.414
8,2,317.500,669.000,4.828,2.257,1.128,90.000,2.236,317,668,116.565,1.000
9,2,566.000,834.500,4.243,2.257,1.128,0.000,2.236,565,834,153.435,1.000
10,2,800.500,885.000,4.828,2.257,1.128,90.000,2.236,800,884,116.565,1.000
11,3,1279.833,293.833,5.657,2.365,1.615,45.000,2.828,1279,295,45.000,2.000
12,3,190.167,347.167,5.657,2.365,1.615,45.000,2.828,189,348,45.000,2.000
13,3,124.833,502.833,5.657,2.365,1.615,45.000,2.828,124,504,45.000,2.000
14,3,1251.833,539.167,5.657,2.365,1.615,135.000,2.828,1251,538,135.000,2.000
15,3,829.833,622.167,5.657,2.365,1.615,135.000,2.828,829,621,135.000,2.000
16,3,299.167,647.167,5.657,2.365,1.615,45.000,2.828,298,648,45.000,2.000
17,3,103.833,930.833,5.657,2.365,1.615,45.000,2.828,103,932,45.000,2.000
18,4,876.000,45.000,5.657,2.257,2.257,0.000,2.828,875,44,135.000,2.000
19,4,1182.750,81.500,7.657,2.734,1.863,90.000,3.162,1182,80,108.435,2.000
20,4,351.000,290.000,5.657,2.257,2.257,0.000,2.828,350,289,135.000,2.000
21,4,1256.500,541.750,7.071,2.734,1.863,0.000,3.162,1255,541,161.565,2.000
22,4,1152.000,596.000,5.657,2.257,2.257,0.000,2.828,1151,595,135.000,2.000
23,4,273.000,643.000,5.657,2.257,2.257,0.000,2.828,272,642,135.000,2.000
24,5,789.100,375.700,7.657,3.144,2.025,71.565,3.606,788,377,56.310,2.000
25,5,1010.100,410.300,7.657,3.144,2.025,108.435,3.606,1009,409,123.690,2.000
26,5,1216.700,568.900,7.657,3.144,2.025,161.565,3.606,1215,568,146.310,2.000
27,5,1056.100,752.700,7.657,3.144,2.025,71.565,3.606,1055,754,56.310,2.000
28,5,119.300,822.100,7.071,3.144,2.025,161.565,3.606,118,821,146.310,2.000
29,5,55.500,826.500,8.485,2.523,2.523,0.000,3.162,55,825,108.435,2.828
30,5,476.100,946.700,7.657,3.144,2.025,71.565,3.606,475,948,56.310,2.000
31,5,492.900,985.300,7.657,3.144,2.025,71.565,3.606,492,987,56.310,2.000
32,6,1322.000,255.500,7.657,3.385,2.257,90.000,3.606,1321,254,123.690,2.000
33,6,132.500,338.000,7.657,3.385,2.257,0.000,3.606,131,337,146.310,2.000
34,6,667.167,349.667,9.071,2.930,2.607,153.435,3.606,666,348,123.690,3.000
