 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,966.500,194.500,2.828,1.128,1.128,0.000,1.414,966,194,135.000,1.000
2,1,123.500,381.500,2.828,1.128,1.128,0.000,1.414,123,381,135.000,1.000
3,1,428.500,547.500,2.828,1.128,1.128,0.000,1.414,428,547,135.000,1.000
4,1,391.500,619.500,2.828,1.128,1.128,0.000,1.414,391,619,135.000,1.000
5,1,374.500,690.500,2.828,1.128,1.128,0.000,1.414,374,690,135.000,1.000
6,1,638.500,772.500,2.828,1.128,1.128,0.000,1.414,638,772,135.000,1.000
7,1,669.500,875.500,2.828,1.128,1.128,0.000,1.414,669,875,135.000,1.000
8,2,948.500,62.000,4.828,2.257,1.128,90.000,2.236,948,61,116.565,1.000
9,2,222.000,76.500,4.243,2.257,1.128,0.000,2.236,221,76,153.435,1.000
10,2,265.000,306.500,4.243,2.257,1.128,0.000,2.236,264,306,153.435,1.000
11,2,884.000,362.000,5.657,2.596,0.981,45.000,2.828,883,363,45.000,1.414
12,2,443.000,658.500,4.243,2.257,1.128,0.000,2.236,442,658,153.435,1.000
13,2,229.500,719.000,4.828,2.257,1.128,90.000,2.236,229,718,116.565,1.000
14,2,1035.000,752.500,4.243,2.257,1.128,0.000,2.236,1034,752,153.435,1.000
15,2,575.500,828.000,4.828,2.257,1.128,90.000,2.236,575,827,116.565,1.000
16,2,1358.500,927.000,4.828,2.257,1.128,90.000,2.236,1358,926,116.565,1.000
17,3,765.167,191.833,5.657,2.365,1.615,135.000,2.828,764,191,135.000,2.000
18,3,422.833,215.167,5.657,2.365,1.615,135.000,2.828,422,214,135.000,2.000
19,3,1037.833,248.167,5.657,2.365,1.615,135.000,2.828,1037,247,135.000,2.000
20,3,105.167,333.167,5.657,2.365,1.615,45.000,2.828,104,334,45.000,2.000
21,3,9.167,391.833,5.657,2.365,1.615,135.000,2.828,8,391,135.000,2.000
22,3,659.167,487.167,5.657,2.365,1.615,45.000,2.828,658,488,45.000,2.000
23,3,96.833,598.833,5.657,2.365,1.615,45.000,2.828,96,600,45.000,2.000
24,3,131.833,648.833,5.657,2.365,1.615,45.000,2.828,131,650,45.000,2.000
25,3,18.167,652.167,5.657,2.365,1.615,45.000,2.828,17,653,45.000,2.000
26,3,105.167,665.167,5.657,2.365,1.615,45.000,2.828,104,666,45.000,2.000
27,3,19.833,921.167,5.657,2.365,1.615,135.000,2.828,19,920,135.000,2.000
28,3,1265.833,930.833,5.657,2.365,1.615,45.000,2.828,1265,932,45.000,2.000
29,3,317.167,965.833,5.657,2.365,1.615,135.000,2.828,316,965,135.000,2.000
30,4,973.500,115.000,7.071,3.216,1.583,148.283,3.606,972,114,146.310,2.000
31,4,577.000,547.000,5.657,2.257,2.257,0.000,2.828,576,546,135.000,2.000
32,4,4.000,652.000,5.657,2.257,2.257,0.000,2.828,3,651,135.000,2.000
33,4,669.000,768.000,5.657,2.257,2.257,0.000,2.828,668,767,135.000,2.000
