 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2,1068.500,460.000,4.828,2.257,1.128,90.000,2.236,1068,459,116.565,1.000
2,2,1013.500,742.000,4.828,2.257,1.128,90.000,2.236,1013,741,116.565,1.000
3,3,1120.833,68.167,5.657,2.365,1.615,135.000,2.828,1120,67,135.000,2.000
4,3,744.167,610.167,5.657,2.365,1.615,45.000,2.828,743,611,45.000,2.000
5,4,457.000,226.000,5.657,2.257,2.257,0.000,2.828,456,225,135.000,2.000
6,4,11.000,322.000,5.657,2.257,2.257,0.000,2.828,10,321,135.000,2.000
7,4,57.000,483.500,7.657,3.216,1.583,121.717,3.606,56,482,123.690,2.000
8,4,980.000,572.000,5.657,2.257,2.257,0.000,2.828,979,571,135.000,2.000
9,4,41.000,858.000,5.657,2.257,2.257,0.000,2.828,40,857,135.000,2.000
10,5,1214.300,496.900,7.071,3.144,2.025,18.435,3.606,1213,498,33.690,2.000
11,5,659.300,685.900,7.071,3.144,2.025,18.435,3.606,658,687,33.690,2.000
12,7,433.500,314.214,9.071,3.086,2.888,0.000,3.606,432,313,123.690,3.000
13,7,318.500,665.786,9.071,3.086,2.888,0.000,3.606,318,664,123.690,3.000
14,8,198.125,137.250,10.485,3.824,2.664,107.296,4.472,197,135,116.565,3.000
15,8,396.625,466.625,9.071,3.538,2.879,45.000,4.243,395,468,45.000,3.000
16,8,1136.375,637.375,9.071,3.538,2.879,45.000,4.243,1135,639,45.000,3.000
17,8,953.875,767.250,9.899,4.044,2.519,160.670,4.472,952,766,153.435,3.000
18,8,1347.625,895.375,9.071,3.538,2.879,135.000,4.243,1346,894,135.000,3.000
19,9,569.833,300.389,9.899,3.919,2.924,159.699,4.472,568,299,153.435,3.000
20,9,627.500,947.500,9.657,3.385,3.385,0.000,4.243,626,946,135.000,3.000
21,10,1177.000,137.700,10.485,4.198,3.033,180.000,4.472,1175,137,153.435,3.000
22,10,519.700,399.500,10.485,3.966,3.210,0.000,4.472,518,398,153.435,3.000
23,10,840.300,1022.000,10.485,4.111,3.097,90.000,4.472,839,1020,116.565,3.000
24,11,1028.409,166.136,11.071,4.384,3.195,105.071,5.000,1027,164,126.870,3.000
25,11,124.409,584.864,11.071,4.384,3.195,74.929,5.000,123,587,53.130,3.000
26,12,488.583,313.667,12.485,4.911,3.111,99.417,5.385,488,311,111.801,3.000
27,12,828.000,598.500,13.314,4.793,3.188,53.350,5.385,827,601,68.199,3.536
28,12,124.500,601.167,12.728,4.162,3.671,0.000,5.099,122,600,168.690,4.000
29,12,1038.000,774.000,11.314,3.909,3.909,0.000,4.472,1037,772,116.565,4.000
30,12,1282.083,796.250,11.899,4.424,3.453,147.933,5.000,1281,794,126.870,4.000
31,14,169.000,507.786,12.485,4.264,4.181,2.771E-13,5.000,167,506,126.870,4.000
32,15,25.633,603.967,13.314,4.640,4.116,165.964,5.385,23,603,158.199,4.000
33,15,710.033,727.367,13.314,4.640,4.116,104.036,5.385,709,725,111.801,4.000
34,16,1170.188,162.375,14.142,4.683,4.350,150.767,5.385,1169,160,111.801,4.919
35,16,588.375,234.688,14.728,4.798,4.246,120.250,5.657,586,233,135.000,4.919
36,17,1113.265,402.324,14.728,5.620,3.851,129.800,6.403,1111,400,128.660,4.243
37,17,105.500,542.147,14.728,4.755,4.552,0.000,5.385,104,540,111.801,4.950
38,17,799.912,548.794,14.485,5.255,4.119,99.394,5.831,799,546,120.964,4.000
39,18,557.444,162.611,14.728,5.368,4.269,128.474,5.831,556,160,120.964,4.919
40,20,934.350,509.350,15.899,5.645,4.511,135.000,6.403,932,507,128.660,5.000
41,20,683.350,682.350,15.899,5.645,4.511,135.000,6.403,681,680,128.660,5.000
42,21,390.643,491.357,15.899,6.118,4.370,135.000,7.071,388,489,135.000,4.950
43,21,17.643,577.643,15.899,6.118,4.370,45.000,7.071,15,580,45.000,4.950
44,22,1060.227,471.045,17.556,5.870,4.772,150.744,6.708,1057,470,153.435,5.367
45,22,1093.955,986.364,16.728,5.691,4.922,147.195,6.403,1092,984,128.660,5.000
46,24,115.958,564.708,17.556,6.116,4.997,137.940,6.708,114,562,116.565,5.657
