 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,214.500,9.500,2.828,1.128,1.128,0.000,1.414,214,9,135.000,1.000
2,1,860.500,94.500,2.828,1.128,1.128,0.000,1.414,860,94,135.000,1.000
3,1,553.500,286.500,2.828,1.128,1.128,0.000,1.414,553,286,135.000,1.000
4,1,1011.500,300.500,2.828,1.128,1.128,0.000,1.414,1011,300,135.000,1.000
5,1,1169.500,475.500,2.828,1.128,1.128,0.000,1.414,1169,475,135.000,1.000
6,1,1274.500,530.500,2.828,1.128,1.128,0.000,1.414,1274,530,135.000,1.000
7,1,663.500,571.500,2.828,1.128,1.128,0.000,1.414,663,571,135.000,1.000
8,1,782.500,729.500,2.828,1.128,1.128,0.000,1.414,782,729,135.000,1.000
9,1,74.500,858.500,2.828,1.128,1.128,0.000,1.414,74,858,135.000,1.000
10,1,1132.500,887.500,2.828,1.128,1.128,0.000,1.414,1132,887,135.000,1.000
11,2,632.000,6.500,4.243,2.257,1.128,0.000,2.236,631,6,153.435,1.000
12,2,385.500,17.000,4.828,2.257,1.128,90.000,2.236,385,16,116.565,1.000
13,2,1020.000,88.500,4.243,2.257,1.128,0.000,2.236,1019,88,153.435,1.000
14,2,61.500,105.000,4.828,2.257,1.128,90.000,2.236,61,104,116.565,1.000
15,2,201.000,221.500,4.243,2.257,1.128,0.000,2.236,200,221,153.435,1.000
16,2,563.500,266.000,4.828,2.257,1.128,90.000,2.236,563,265,116.565,1.000
17,2,1143.500,387.000,4.828,2.257,1.128,90.000,2.236,1143,386,116.565,1.000
18,2,1013.500,684.000,4.828,2.257,1.128,90.000,2.236,1013,683,116.565,1.000
19,2,1219.000,723.500,4.243,2.257,1.128,0.000,2.236,1218,723,153.435,1.000
20,2,685.000,760.500,4.243,2.257,1.128,0.000,2.236,684,760,153.435,1.000
21,2,53.000,771.000,5.657,2.596,0.981,135.000,2.828,52,770,135.000,1.414
22,2,624.500,785.000,4.828,2.257,1.128,90.000,2.236,624,784,116.565,1.000
23,2,496.000,864.500,4.243,2.257,1.128,0.000,2.236,495,864,153.435,1.000
24,2,616.000,905.500,4.243,2.257,1.128,0.000,2.236,615,905,153.435,1.000
25,2,77.500,995.000,4.828,2.257,1.128,90.000,2.236,77,994,116.565,1.000
26,2,975.000,1005.500,4.243,2.257,1.128,0.000,2.236,974,1005,153.435,1.000
