 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,90.500,168.500,2.828,1.128,1.128,0.000,1.414,90,168,135.000,1.000
2,1,213.500,382.500,2.828,1.128,1.128,0.000,1.414,213,382,135.000,1.000
3,1,827.500,424.500,2.828,1.128,1.128,0.000,1.414,827,424,135.000,1.000
4,1,408.500,502.500,2.828,1.128,1.128,0.000,1.414,408,502,135.000,1.000
5,1,437.500,518.500,2.828,1.128,1.128,0.000,1.414,437,518,135.000,1.000
6,1,1340.500,710.500,2.828,1.128,1.128,0.000,1.414,1340,710,135.000,1.000
7,1,697.500,787.500,2.828,1.128,1.128,0.000,1.414,697,787,135.000,1.000
8,1,529.500,886.500,2.828,1.128,1.128,0.000,1.414,529,886,135.000,1.000
9,1,326.500,937.500,2.828,1.128,1.128,0.000,1.414,326,937,135.000,1.000
10,2,866.000,278.500,4.243,2.257,1.128,0.000,2.236,865,278,153.435,1.000
11,2,46.500,360.000,4.828,2.257,1.128,90.000,2.236,46,359,116.565,1.000
12,2,1275.500,544.000,4.828,2.257,1.128,90.000,2.236,1275,543,116.565,1.000
13,2,577.000,694.500,4.243,2.257,1.128,0.000,2.236,576,694,153.435,1.000
14,2,124.000,821.500,4.243,2.257,1.128,0.000,2.236,123,821,153.435,1.000
15,3,1024.833,32.833,5.657,2.365,1.615,45.000,2.828,1024,34,45.000,2.000
16,3,105.833,232.833,5.657,2.365,1.615,45.000,2.828,105,234,45.000,2.000
17,3,88.833,241.833,5.657,2.365,1.615,45.000,2.828,88,243,45.000,2.000
18,3,544.833,298.167,5.657,2.365,1.615,135.000,2.828,544,297,135.000,2.000
19,3,226.833,365.167,5.657,2.365,1.615,135.000,2.828,226,364,135.000,2.000
20,3,1275.833,384.167,5.657,2.365,1.615,135.000,2.828,1275,383,135.000,2.000
21,3,759.167,538.833,5.657,2.365,1.615,135.000,2.828,758,538,135.000,2.000
22,3,161.833,625.833,5.657,2.365,1.615,45.000,2.828,161,627,45.000,2.000
23,4,705.500,6.250,7.071,2.734,1.863,0.000,3.162,704,6,161.565,2.000
24,4,717.000,30.000,5.657,2.257,2.257,0.000,2.828,716,29,135.000,2.000
25,4,1208.000,331.000,5.657,2.257,2.257,0.000,2.828,1207,330,135.000,2.000
26,4,1369.500,401.750,7.071,2.734,1.863,0.000,3.162,1368,401,161.565,2.000
