 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,1333.500,383.500,2.828,1.128,1.128,0.000,1.414,1333,383,135.000,1.000
2,1,1324.500,434.500,2.828,1.128,1.128,0.000,1.414,1324,434,135.000,1.000
3,1,753.500,546.500,2.828,1.128,1.128,0.000,1.414,753,546,135.000,1.000
4,1,847.500,659.500,2.828,1.128,1.128,0.000,1.414,847,659,135.000,1.000
5,1,877.500,921.500,2.828,1.128,1.128,0.000,1.414,877,921,135.000,1.000
6,2,659.500,244.000,4.828,2.257,1.128,90.000,2.236,659,243,116.565,1.000
7,3,63.833,661.167,5.657,2.365,1.615,135.000,2.828,63,660,135.000,2.000
8,3,227.833,736.833,5.657,2.365,1.615,45.000,2.828,227,738,45.000,2.000
9,3,479.833,921.833,5.657,2.365,1.615,45.000,2.828,479,923,45.000,2.000
10,3,225.167,967.833,5.657,2.365,1.615,135.000,2.828,224,967,135.000,2.000
11,4,587.000,65.000,5.657,2.257,2.257,0.000,2.828,586,64,135.000,2.000
12,4,897.500,116.250,7.071,2.734,1.863,0.000,3.162,896,116,161.565,2.000
13,4,887.500,903.000,7.071,3.216,1.583,31.717,3.606,886,904,33.690,2.000
14,5,464.300,1012.100,7.071,3.144,2.025,161.565,3.606,463,1011,146.310,2.000
15,7,821.500,165.786,9.071,3.086,2.888,0.000,3.606,821,164,123.690,3.000
16,7,1387.214,546.500,8.485,3.086,2.888,90.000,3.606,1386,545,123.690,3.000
17,7,456.214,604.929,9.657,4.154,2.146,171.650,4.472,454,604,153.435,2.000
18,7,310.500,645.214,9.071,3.086,2.888,0.000,3.606,309,644,123.690,3.000
19,8,1328.500,313.000,10.485,3.489,2.919,90.000,4.123,1328,311,104.036,3.000
20,8,1322.625,453.375,9.071,3.538,2.879,135.000,4.243,1321,452,135.000,3.000
21,8,846.375,484.625,9.071,3.538,2.879,135.000,4.243,845,483,135.000,3.000
22,8,285.625,623.375,9.071,3.538,2.879,135.000,4.243,284,622,135.000,3.000
23,9,745.167,63.611,10.485,3.919,2.924,159.699,4.472,743,63,153.435,3.000
24,9,827.167,80.611,10.485,3.919,2.924,159.699,4.472,825,80,153.435,3.000
25,9,165.611,471.167,10.485,3.919,2.924,110.301,4.472,165,469,116.565,3.000
26,9,901.833,503.389,9.899,3.919,2.924,159.699,4.472,900,502,153.435,3.000
27,9,506.389,983.167,10.485,3.919,2.924,69.699,4.472,505,985,63.435,3.000
28,10,386.500,391.300,11.071,3.966,3.210,90.000,4.472,386,389,116.565,3.000
29,10,1280.700,833.500,10.485,3.966,3.210,0.000,4.472,1279,832,153.435,3.000
30,10,616.000,930.300,10.485,4.111,3.097,2.596E-14,4.472,614,929,153.435,3.000
31,11,539.682,544.045,11.314,4.507,3.107,131.028,5.000,538,542,126.870,3.536
32,11,108.227,592.682,11.899,4.009,3.494,39.690,5.000,107,595,53.130,4.000
33,12,17.000,352.167,11.899,4.424,3.454,127.238,5.000,16,350,126.870,4.000
34,12,106.917,427.500,13.314,5.096,2.998,132.788,5.831,105,425,120.964,3.536
35,13,413.885,782.038,12.485,4.899,3.378,129.265,5.657,412,780,135.000,4.000
36,13,423.192,903.423,13.314,4.353,3.803,118.764,5.099,423,901,101.310,4.000
37,13,434.500,1031.500,14.142,4.068,4.068,0.000,5.099,434,1029,101.310,4.243
38,14,32.000,18.786,12.485,4.264,4.181,2.771E-13,5.000,30,17,126.870,4.000
39,14,964.214,58.000,12.485,4.264,4.181,90.000,5.000,963,56,126.870,4.000
40,14,89.786,469.000,12.485,4.264,4.181,90.000,5.000,88,467,126.870,4.000
41,14,297.000,538.786,12.485,4.264,4.181,2.771E-13,5.000,295,537,126.870,4.000
42,14,1197.000,669.500,13.314,4.482,3.977,131.437,5.385,1196,667,111.801,4.000
43,15,1209.033,269.633,13.314,4.640,4.116,75.964,5.385,1208,272,68.199,4.000
