 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,1037.500,962.500,2.828,1.128,1.128,0.000,1.414,1037,962,135.000,1.000
2,3,970.167,652.167,5.657,2.365,1.615,45.000,2.828,969,653,45.000,2.000
3,3,940.167,1012.167,5.657,2.365,1.615,45.000,2.828,939,1013,45.000,2.000
4,4,791.000,108.000,5.657,2.257,2.257,0.000,2.828,790,107,135.000,2.000
5,4,106.000,161.000,5.657,2.257,2.257,0.000,2.828,105,160,135.000,2.000
6,4,797.000,560.000,5.657,2.257,2.257,0.000,2.828,796,559,135.000,2.000
7,4,688.000,791.000,5.657,2.257,2.257,0.000,2.828,687,790,135.000,2.000
8,4,819.000,922.000,5.657,2.257,2.257,0.000,2.828,818,921,135.000,2.000
9,6,679.500,172.000,7.657,3.385,2.257,0.000,3.606,678,171,146.310,2.000
10,7,696.786,71.500,9.071,3.086,2.888,90.000,3.606,696,70,123.690,3.000
11,7,757.500,463.214,9.071,3.086,2.888,0.000,3.606,756,462,123.690,3.000
12,7,211.786,617.500,9.071,3.086,2.888,90.000,3.606,211,616,123.690,3.000
13,7,49.500,778.214,9.071,3.086,2.888,0.000,3.606,48,777,123.690,3.000
14,8,97.000,470.500,9.899,3.489,2.919,0.000,4.123,95,470,165.964,3.000
15,8,245.375,542.625,9.071,3.538,2.879,135.000,4.243,244,541,135.000,3.000
16,8,807.750,686.625,9.899,4.444,2.292,144.645,5.000,806,685,143.130,2.828
17,9,807.611,204.833,10.485,3.919,2.924,69.699,4.472,807,207,63.435,3.000
18,12,1052.833,256.000,11.899,4.424,3.454,37.238,5.000,1051,258,36.870,4.000
19,13,1299.885,247.115,11.899,4.380,3.779,45.000,5.000,1298,249,36.870,4.000
20,13,68.500,784.500,12.485,5.359,3.089,165.128,5.831,66,783,149.036,3.000
21,13,71.115,987.038,12.485,4.899,3.378,50.735,5.657,69,989,45.000,4.000
22,14,1043.000,180.214,12.485,4.477,3.981,180.000,5.000,1042,178,126.870,4.000
23,15,220.900,241.100,13.071,4.659,4.099,135.000,5.657,219,239,135.000,4.000
24,15,458.167,483.233,13.314,4.759,4.014,174.116,5.385,456,482,158.199,4.000
25,15,1036.433,955.767,13.314,5.235,3.648,27.549,5.831,1034,957,30.964,4.000
26,16,711.500,292.000,13.314,4.963,4.105,0.000,5.385,709,291,158.199,4.000
27,16,46.500,732.000,13.314,4.963,4.105,0.000,5.385,44,731,158.199,4.000
