 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,4,0.957,253,255,962.000,674.500,962.001,674.502,7.657,3.216,1.583,121.717,20
2,2,1.414,347,349,107.000,406.500,106.999,406.500,4.243,2.257,1.128,0.000,21
3,4,4.163,255,265,116.000,417.000,115.996,416.994,5.657,2.257,2.257,0.000,21
4,8,5.111,331,346,79.000,399.000,79.004,398.988,9.657,4.514,2.257,90.000,22
5,12,8.196,284,309,125.167,367.417,125.146,367.434,12.485,4.314,3.542,34.722,23
6,6,3.847,358,368,83.500,383.000,83.507,383.001,7.657,3.385,2.257,0.000,23
7,15,9.901,252,284,134.567,394.100,134.525,394.096,13.314,4.973,3.841,9.462,23
8,3,3.512,247,254,119.167,355.833,119.166,355.838,5.657,2.365,1.615,135.000,24
9,8,3.536,355,364,86.375,385.625,86.381,385.627,9.071,3.538,2.879,135.000,24
10,2,6.364,236,245,138.000,392.500,137.991,392.500,4.243,2.257,1.128,0.000,24
11,12,6.501,305,323,395.417,579.333,395.414,579.355,12.485,4.911,3.111,99.417,24
12,3,3.000,333,339,867.833,759.167,867.836,759.170,5.657,2.365,1.615,135.000,24
13,3,1.732,384,387,885.833,762.833,885.832,762.834,5.657,2.365,1.615,45.000,24
14,7,7.528,208,230,114.500,348.786,114.490,348.805,9.071,3.086,2.888,0.000,25
15,8,6.319,331,347,82.625,400.000,82.637,399.989,10.485,3.651,2.790,55.278,25
16,4,3.304,226,234,1362.000,686.000,1361.996,685.995,5.657,2.257,2.257,0.000,25
17,28,7.147,356,381,92.286,371.000,92.292,371.016,18.142,6.024,5.918,90.000,26
18,7,6.309,291,309,128.214,370.500,128.204,370.509,8.485,3.086,2.888,90.000,26
19,11,5.492,289,305,132.591,386.136,132.578,386.139,11.071,4.384,3.195,74.929,26
20,40,15.418,341,394,400.050,585.100,399.971,585.134,24.385,9.311,5.470,12.461,26
21,2,0.707,230,231,1346.000,690.500,1346.001,690.500,4.243,2.257,1.128,0.000,26
22,3,3.215,308,314,983.833,870.167,983.829,870.164,5.657,2.365,1.615,135.000,26
23,12,6.597,254,276,118.167,355.583,118.162,355.603,12.485,4.314,3.542,145.278,27
24,21,4.911,333,349,979.690,860.548,979.679,860.546,15.899,5.621,4.756,126.136,27
25,14,7.894,269,293,991.429,856.786,991.395,856.793,13.314,5.061,3.522,7.928,28
26,20,5.884,284,303,988.850,853.550,988.837,853.561,18.142,6.422,3.965,115.315,29
27,3,3.464,336,342,976.167,867.833,976.165,867.829,5.657,2.365,1.615,135.000,31
28,3,1.155,230,232,1306.833,887.167,1306.831,887.166,5.657,2.365,1.615,135.000,31
29,3,4.041,279,286,106.167,358.833,106.169,358.839,5.657,2.365,1.615,135.000,32
30,9,3.606,365,375,972.611,862.167,972.616,862.173,10.485,3.919,2.924,110.301,32
31,12,3.729,217,229,1306.000,894.000,1305.995,893.990,11.314,3.909,3.909,0.000,32
32,13,6.899,243,264,92.115,358.115,92.127,358.139,11.899,4.380,3.779,135.000,33
33,8,2.315,231,237,1296.625,893.625,1296.626,893.620,9.071,3.538,2.879,45.000,35
34,3,6.557,271,284,115.833,360.500,115.825,360.516,7.657,3.213,1.189,61.845,36
35,3,2.309,257,261,99.167,358.833,99.168,358.837,5.657,2.365,1.615,135.000,37
36,13,3.280,287,296,100.269,381.115,100.274,381.119,12.485,4.253,3.892,30.964,40
37,2,1.414,236,238,91.000,366.500,91.002,366.500,4.243,2.257,1.128,0.000,41
38,15,3.420,273,283,94.833,378.300,94.844,378.303,13.899,4.819,3.963,25.286,42
39,3,2.646,250,255,86.167,388.833,86.171,388.835,5.657,2.365,1.615,135.000,45
40,5,2.950,240,247,84.500,382.500,84.506,382.502,8.485,2.523,2.523,0.000,48
