 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,29,8.444,259,287,716.672,694.603,716.654,694.623,18.728,7.121,5.185,9.969,13
2,21,6.708,178,200,626.119,532.071,626.074,532.085,15.899,6.279,4.258,172.798,14
3,41,8.417,269,298,738.354,702.427,738.354,702.435,22.728,7.814,6.680,47.438,14
4,56,10.809,213,257,620.000,532.804,619.964,532.822,27.213,9.390,7.594,44.958,15
5,19,4.935,171,186,1177.658,538.816,1177.691,538.813,15.314,5.810,4.164,2.650,15
6,25,5.031,267,285,736.420,701.700,736.419,701.704,17.899,5.979,5.324,113.581,15
7,47,8.543,225,259,623.011,533.394,622.978,533.444,25.556,9.677,6.184,79.581,16
8,27,5.271,194,213,1183.722,538.796,1183.755,538.786,19.314,7.532,4.564,174.416,16
9,21,4.098,253,266,732.500,694.500,732.500,694.514,15.314,5.171,5.171,0.000,16
10,1,0.000,373,373,948.500,330.500,948.500,330.500,2.828,1.128,1.128,0.000,17
11,4,3.304,374,381,955.000,385.000,954.996,384.999,5.657,2.257,2.257,0.000,17
12,4,3.500,218,226,629.500,542.000,629.491,542.003,7.071,3.216,1.583,31.717,17
13,4,1.732,244,248,719.750,684.500,719.746,684.504,8.485,3.676,1.385,39.690,17
14,8,5.939,366,384,951.625,331.375,951.615,331.377,9.071,3.538,2.879,135.000,18
15,29,11.375,218,258,1100.707,464.224,1100.651,464.186,19.556,6.513,5.669,148.690,18
16,3,2.517,246,251,623.500,540.500,623.500,540.493,6.828,3.385,1.128,90.000,18
17,48,8.362,271,300,1091.375,449.333,1091.364,449.358,24.971,9.163,6.670,159.943,19
18,19,4.868,245,262,625.026,532.658,625.018,532.673,15.899,6.021,4.018,108.435,19
19,6,7.714,214,236,596.667,881.167,596.678,881.149,9.071,2.930,2.607,116.565,19
20,27,14.478,314,361,806.537,888.019,806.548,888.082,18.728,6.451,5.329,117.000,19
21,15,6.603,281,301,1084.900,458.700,1084.934,458.703,13.899,6.213,3.074,176.486,20
22,28,13.377,236,284,599.000,881.179,599.034,881.125,18.728,6.328,5.633,136.703,20
23,39,20.097,331,399,800.449,891.449,800.497,891.535,22.142,7.944,6.251,134.999,20
24,6,2.074,291,297,1087.667,454.667,1087.670,454.667,8.485,3.140,2.433,135.000,21
25,5,6.979,479,497,673.100,767.700,673.104,767.691,7.657,3.144,2.025,71.565,21
26,45,7.868,326,351,607.678,869.811,607.686,869.805,24.142,8.122,7.054,112.481,21
27,64,12.794,409,459,801.391,902.391,801.428,902.411,28.971,9.613,8.477,42.265,21
28,10,14.167,321,364,959.300,46.000,959.311,46.035,10.485,4.111,3.097,90.000,22
29,34,7.597,627,655,692.618,739.265,692.611,739.270,20.142,7.359,5.883,11.121,22
30,32,11.127,396,435,795.312,908.531,795.357,908.517,25.556,7.867,5.179,48.143,22
31,4,1.414,232,235,920.500,36.250,920.498,36.249,7.071,2.734,1.863,0.000,23
32,3,2.517,223,228,921.833,39.167,921.830,39.163,5.657,2.365,1.615,135.000,23
33,29,12.857,447,492,952.500,74.121,952.532,74.122,20.142,7.411,4.982,45.409,23
34,11,2.970,348,355,591.136,481.591,591.142,481.594,11.071,4.384,3.195,15.071,23
35,66,16.676,611,676,692.652,727.561,692.636,727.601,29.213,9.578,8.773,74.030,23
36,17,8.050,568,594,692.500,760.500,692.496,760.485,14.142,5.476,3.953,135.000,23
37,32,12.244,378,422,798.938,901.188,798.989,901.205,20.728,8.122,5.017,173.635,23
38,13,2.127,244,251,909.038,33.962,909.041,33.952,15.314,6.327,2.616,64.635,24
39,62,21.891,407,488,963.403,58.710,963.471,58.808,28.971,11.051,7.144,132.043,24
40,6,3.656,421,430,987.000,105.000,987.001,104.997,9.071,3.988,1.916,18.435,24
41,63,19.765,537,617,691.103,721.071,691.120,721.154,32.284,10.301,7.787,109.409,24
42,3,7.095,469,483,665.167,727.833,665.172,727.838,5.657,2.365,1.615,135.000,24
43,12,8.305,458,485,722.833,747.417,722.818,747.409,12.485,4.314,3.542,145.278,24
44,15,13.479,400,447,657.900,757.900,657.928,757.880,13.071,4.659,4.099,45.001,24
45,25,3.012,268,280,902.300,28.700,902.305,28.699,18.142,6.840,4.654,165.473,25
46,76,23.607,413,497,966.868,54.737,966.847,54.874,35.456,12.833,7.540,59.645,25
47,18,14.912,345,393,990.611,113.556,990.609,113.512,14.728,5.368,4.269,38.474,25
48,11,4.628,239,252,182.864,707.318,182.861,707.303,11.899,4.900,2.859,142.125,25
49,10,8.551,616,639,696.700,721.400,696.696,721.411,11.071,4.049,3.144,26.565,25
50,10,2.221,255,261,145.000,738.700,145.003,738.704,10.485,4.198,3.033,180.000,25
51,35,12.183,539,582,673.700,760.386,673.725,760.355,22.385,8.795,5.067,37.041,25
52,18,2.541,268,277,914.500,29.167,914.493,29.166,14.485,5.349,4.285,0.000,26
53,93,28.352,432,540,974.543,54.769,974.603,54.893,34.870,11.769,10.061,138.604,26
54,10,6.523,431,449,986.000,106.500,986.001,106.490,10.485,4.444,2.865,26.565,26
55,1,0.000,201,201,855.500,486.500,855.500,486.500,2.828,1.128,1.128,0.000,26
56,1,0.000,306,306,195.500,688.500,195.500,688.500,2.828,1.128,1.128,0.000,26
57,31,7.126,257,283,154.532,737.113,154.515,737.133,20.142,6.638,5.946,78.103,26
58,1,0.000,250,250,142.500,741.500,142.500,741.500,2.828,1.128,1.128,0.000,26
59,4,5.774,441,451,731.000,744.000,730.994,744.000,5.657,2.257,2.257,0.000,26
60,1,0.000,431,431,731.500,748.500,731.500,748.500,2.828,1.128,1.128,0.000,26
61,66,20.608,528,608,672.273,759.500,672.335,759.449,31.556,10.543,7.970,40.099,26
62,6,1.211,268,271,912.500,31.000,912.501,30.999,7.657,3.385,2.257,0.000,27
63,1,0.000,547,547,975.500,72.500,975.500,72.500,2.828,1.128,1.128,0.000,27
64,10,8.867,456,483,963.300,93.600,963.310,93.578,12.485,5.101,2.496,69.825,27
65,6,7.174,425,441,983.000,106.500,983.000,106.488,7.657,3.385,2.257,90.000,27
66,14,4.294,243,257,188.214,583.000,188.222,583.009,12.485,4.264,4.181,90.000,27
67,3,4.359,392,400,250.833,657.833,250.835,657.829,5.657,2.365,1.615,45.000,27
68,74,13.316,272,319,146.459,742.770,146.472,742.772,30.627,10.766,8.752,14.978,27
69,28,15.488,394,452,732.857,746.321,732.815,746.303,19.556,6.949,5.130,95.402,27
70,46,14.513,539,596,673.674,758.478,673.714,758.464,24.971,8.300,7.057,3.916,27
71,4,5.354,222,233,592.500,1021.250,592.499,1021.259,7.071,2.734,1.863,0.000,27
72,14,3.875,221,232,57.857,29.286,57.850,29.294,13.314,4.746,3.756,65.642,28
73,15,3.226,225,236,35.100,44.967,35.103,44.974,15.314,5.677,3.364,113.912,28
74,2,2.828,194,198,848.000,507.500,848.005,507.500,4.243,2.257,1.128,0.000,28
