 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,26,10.300,223,261,208.731,54.577,208.733,54.627,18.728,5.970,5.545,161.565,19
2,1,0.000,288,288,191.500,80.500,191.500,80.500,2.828,1.128,1.128,0.000,20
3,5,2.387,397,403,201.900,89.700,201.901,89.703,7.657,3.144,2.025,108.435,21
4,20,7.226,187,209,398.200,253.600,398.235,253.599,15.899,5.446,4.675,69.090,21
5,12,6.921,242,264,1023.667,764.583,1023.694,764.580,12.485,4.911,3.111,170.583,21
6,38,15.242,173,226,413.921,238.421,413.909,238.535,22.728,7.850,6.163,95.187,22
7,12,8.469,198,222,492.000,364.000,491.975,363.974,11.314,3.909,3.909,0.000,22
8,52,13.731,185,235,424.327,255.365,424.243,255.336,25.799,8.862,7.471,109.533,23
9,25,10.181,182,217,472.060,368.820,472.099,368.787,18.142,6.964,4.571,160.045,23
10,1,0.000,255,255,1133.500,645.500,1133.500,645.500,2.828,1.128,1.128,0.000,23
11,41,12.311,173,217,406.354,264.573,406.362,264.491,22.728,7.814,6.680,132.562,24
12,17,5.231,232,249,490.912,352.441,490.894,352.452,14.485,5.692,3.803,65.098,24
13,41,12.779,166,209,405.305,266.159,405.361,266.104,23.556,8.766,5.955,147.802,25
14,24,6.177,246,268,477.917,346.667,477.915,346.698,18.728,7.375,4.144,70.315,25
15,33,14.154,164,211,418.530,267.167,418.467,267.035,22.971,8.139,5.162,121.988,26
16,48,13.207,222,271,492.646,354.812,492.548,354.786,24.971,9.331,6.550,157.803,26
17,18,5.634,211,229,424.000,255.500,423.980,255.504,14.485,5.587,4.102,66.891,27
18,57,18.633,192,263,495.360,357.289,495.200,357.255,28.042,9.226,7.866,171.956,27
19,14,3.231,222,233,411.000,252.786,411.010,252.788,12.485,4.264,4.181,2.771E-13,28
20,46,7.527,267,292,483.000,353.500,483.005,353.492,24.142,8.334,7.028,165.734,28
21,3,2.517,211,216,423.167,257.833,423.163,257.829,5.657,2.365,1.615,135.000,29
22,51,10.272,248,285,484.676,361.284,484.678,361.245,25.799,8.760,7.413,24.578,29
23,18,4.706,711,725,956.111,646.222,956.115,646.221,15.314,5.698,4.022,77.764,29
24,6,7.992,179,200,1073.667,732.333,1073.644,732.352,8.485,3.140,2.433,45.000,29
25,32,10.423,440,474,202.375,102.062,202.406,102.066,20.728,7.470,5.454,35.554,30
26,2,3.536,187,192,427.000,248.500,426.993,248.500,4.243,2.257,1.128,0.000,30
27,56,16.028,189,252,489.357,367.411,489.293,367.322,26.971,9.485,7.517,170.068,30
28,21,14.753,544,599,961.405,617.310,961.405,617.343,16.728,5.623,4.755,78.690,30
29,15,19.938,453,515,937.167,622.300,937.207,622.334,14.142,5.213,3.664,140.917,30
30,7,5.367,672,688,952.214,636.929,952.221,636.930,9.657,4.154,2.146,171.650,30
31,18,8.833,218,247,1065.000,730.500,1064.989,730.540,14.485,5.587,4.102,113.109,30
32,44,8.301,511,543,219.432,104.705,219.442,104.707,24.142,9.310,6.017,3.377,31
33,48,12.960,193,239,484.854,367.812,484.850,367.717,24.971,7.993,7.646,47.293,31
34,43,15.892,587,646,968.547,622.314,968.544,622.348,23.556,7.901,6.929,154.779,31
35,33,20.508,559,628,940.742,635.076,940.791,635.094,19.556,7.001,6.002,170.662,31
36,10,1.932,691,697,958.700,647.500,958.701,647.499,10.485,3.966,3.210,0.000,31
37,5,2.449,270,276,1067.900,753.700,1067.896,753.698,7.657,3.144,2.025,108.435,31
38,76,13.809,518,573,220.342,100.355,220.357,100.378,31.556,10.746,9.005,113.620,32
39,25,7.936,208,236,490.140,362.380,490.108,362.355,18.142,6.502,4.896,137.985,32
40,52,23.335,574,665,975.885,623.404,975.859,623.458,26.385,8.529,7.762,62.666,32
41,38,15.767,616,672,959.395,625.368,959.414,625.391,22.728,9.186,5.267,1.887,32
42,41,20.942,540,618,941.744,631.573,941.798,631.598,22.971,7.652,6.822,172.250,32
43,1,0.000,276,276,1052.500,770.500,1052.500,770.500,2.828,1.128,1.128,0.000,32
