 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,23,11.200,219,255,238.587,374.543,238.654,374.493,18.971,7.503,3.903,39.153,20
2,25,12.396,207,253,240.300,380.060,240.340,379.996,17.899,6.206,5.129,77.588,21
3,20,9.494,225,259,1019.050,284.250,1019.001,284.291,17.314,6.964,3.657,34.434,22
4,2,2.828,217,221,1024.000,283.500,1023.995,283.500,4.243,2.257,1.128,0.000,23
5,10,5.350,244,262,234.000,361.800,234.015,361.797,11.899,4.197,3.034,75.911,23
6,12,5.600,245,261,1022.667,287.667,1022.648,287.678,12.485,4.738,3.225,1.907,24
7,15,6.132,265,283,236.767,357.433,236.786,357.423,13.314,5.235,3.648,62.451,24
8,13,7.099,435,458,734.885,438.885,734.896,438.894,11.899,4.380,3.779,135.000,24
9,13,5.348,480,497,751.885,440.346,751.888,440.357,13.314,5.327,3.107,126.729,24
10,34,6.326,252,273,1025.412,301.206,1025.390,301.220,26.971,11.252,3.847,65.725,25
11,22,8.733,489,521,764.591,457.409,764.576,457.412,15.899,5.554,5.043,45.000,25
12,18,5.023,508,525,755.056,463.833,755.055,463.827,15.314,5.895,3.888,22.692,25
13,3,3.000,235,241,1028.167,304.167,1028.162,304.167,5.657,2.365,1.615,45.000,26
14,43,13.927,475,526,763.128,464.686,763.091,464.681,22.971,8.431,6.494,161.478,26
15,73,18.782,476,549,767.336,452.308,767.278,452.340,31.799,9.866,9.421,53.150,27
16,25,5.394,514,533,745.820,466.180,745.827,466.172,18.728,6.969,4.567,171.698,27
17,88,19.044,520,590,742.489,459.852,742.533,459.853,33.799,11.357,9.866,153.354,28
18,13,7.354,464,486,761.115,474.423,761.105,474.411,13.314,4.616,3.586,127.839,28
19,1,0.000,295,295,783.500,901.500,783.500,901.500,2.828,1.128,1.128,0.000,28
20,25,4.034,512,527,764.900,456.140,764.895,456.141,20.142,8.129,3.916,104.846,29
21,101,25.577,488,588,738.975,465.946,739.045,465.890,37.213,12.194,10.546,29.174,29
22,113,22.934,479,566,764.562,473.580,764.500,473.503,38.627,12.099,11.891,70.086,30
23,2,2.828,297,301,787.000,897.500,786.997,897.500,4.243,2.257,1.128,0.000,30
24,118,22.182,479,572,758.907,472.347,758.869,472.243,42.042,13.956,10.765,80.131,31
25,121,18.515,507,587,762.698,464.227,762.651,464.178,43.113,14.329,10.752,16.626,32
26,152,13.918,540,607,762.625,452.757,762.598,452.775,53.012,14.817,13.061,79.331,33
27,3,1.528,249,252,1298.833,752.833,1298.832,752.833,5.657,2.365,1.615,45.000,33
28,37,9.418,560,591,759.392,447.338,759.378,447.366,25.799,8.783,5.364,72.969,34
29,8,2.121,574,580,753.875,448.375,753.876,448.376,12.485,5.328,1.912,87.897,34
30,3,0.577,548,549,765.500,450.500,765.500,450.499,6.828,3.385,1.128,90.000,34
31,13,5.545,546,564,754.423,455.115,754.426,455.122,12.728,4.964,3.334,6.579,35
32,45,11.302,542,584,757.656,465.056,757.629,465.034,27.799,9.117,6.285,165.011,35
33,72,16.009,518,587,756.069,462.056,756.007,461.995,46.527,18.029,5.085,136.714,36
34,7,7.502,524,543,765.500,458.500,765.490,458.496,8.485,3.772,2.363,135.000,36
35,65,16.397,554,614,752.715,460.992,752.718,460.977,34.627,13.497,6.132,140.957,37
36,1,0.000,242,242,1303.500,746.500,1303.500,746.500,2.828,1.128,1.128,0.000,37
37,54,10.360,475,515,751.463,456.426,751.464,456.423,31.456,12.900,5.330,126.913,38
38,48,9.103,481,518,752.312,457.583,752.320,457.589,34.385,12.742,4.796,167.637,39
39,67,10.802,474,518,752.276,457.321,752.295,457.332,38.870,15.442,5.524,148.694,40
40,62,16.688,479,544,750.984,457.048,751.028,457.081,31.456,12.643,6.244,137.317,41
41,62,13.415,458,512,752.452,457.661,752.486,457.675,31.213,13.153,6.002,146.858,42
42,61,14.750,461,517,751.730,458.943,751.791,458.971,31.456,13.058,5.948,146.902,43
43,1,0.000,462,462,764.500,460.500,764.500,460.500,2.828,1.128,1.128,0.000,43
44,63,13.125,469,523,752.770,458.262,752.799,458.273,33.799,13.926,5.760,156.859,44
45,77,13.117,501,552,754.435,457.331,754.411,457.343,40.284,16.049,6.109,0.951,45
46,73,13.343,481,535,752.664,458.719,752.720,458.739,35.456,13.798,6.736,158.735,46
47,70,13.645,484,539,753.343,458.943,753.366,458.950,34.042,14.257,6.251,154.490,47
48,3,1.528,163,166,770.167,366.833,770.164,366.830,5.657,2.365,1.615,135.000,48
